species,Freeze.tmin.lo
Beilschmiedia rigida,FreezingUnexposed
Beilschmiedia rugosa,FreezingUnexposed
Beilschmiedia sary,FreezingUnexposed
Beilschmiedia sericans,FreezingUnexposed
Beilschmiedia tarairi,FreezingUnexposed
Beilschmiedia tawa,FreezingUnexposed
Beilschmiedia tooram,FreezingUnexposed
Beilschmiedia velutina,FreezingUnexposed
Beilschmiedia volckii,FreezingUnexposed
Beiselia mexicana,FreezingUnexposed
Bejaria racemosa,FreezingUnexposed
Bejaria resinosa,FreezingUnexposed
Belamcanda chinensis,FreezingExposed
Bellendena montana,FreezingExposed
Bellevalia flexuosa,FreezingUnexposed
Bellevalia montana,FreezingExposed
Bellevalia paradoxa,FreezingExposed
Bellida graminea,FreezingUnexposed
Belliolum crassifolium,FreezingUnexposed
Bellis perennis,FreezingExposed
Bellucia grossularioides,FreezingUnexposed
Bellucia pentamera,FreezingUnexposed
Bembicia axillaris,FreezingUnexposed
Bentleya diminuta,FreezingUnexposed
Bentleya spinescens,FreezingUnexposed
Benzoin aestivale,FreezingExposed
Bequaertiodendron magalismontanum,FreezingUnexposed
Bequaertiodendron natalense,FreezingUnexposed
Berberidopsis corallina,FreezingUnexposed
Berberis amurensis,FreezingExposed
Berberis aquifolium,FreezingExposed
Berberis buxifolia,FreezingExposed
Berberis circumserrata,FreezingUnexposed
Berberis darwinii,FreezingExposed
Berberis diaphana,FreezingExposed
Berberis empetrifolia,FreezingExposed
Berberis fremontii,FreezingExposed
Berberis haematocarpa,FreezingExposed
Berberis henryana,FreezingExposed
Berberis ilicifolia,FreezingExposed
Berberis jamesiana,FreezingExposed
Berberis jobii,FreezingExposed
Berberis koreana,FreezingExposed
Berberis nervosa,FreezingExposed
Berberis nevinii,FreezingUnexposed
Berberis pinifolia,FreezingUnexposed
Berberis pinnata,FreezingExposed
Berberis poiretii,FreezingExposed
Berberis polyantha,FreezingExposed
Berberis pruinosa,FreezingExposed
Berberis silva-taroucana,FreezingExposed
Berberis thunbergii,FreezingExposed
Berberis trifoliolata,FreezingExposed
Berberis vulgaris,FreezingExposed
Berberis wilsoniae,FreezingExposed
Berchemia discolor,FreezingUnexposed
Berchemia racemosa,FreezingExposed
Berchemia scandens,FreezingExposed
Berchemia zeyheri,FreezingUnexposed
Berchemiella berchemiifolia,FreezingExposed
Bergenia crassifolia,FreezingExposed
Bergia ammannioides,FreezingUnexposed
Bergia texana,FreezingExposed
Berlinia acuminata,FreezingUnexposed
Berlinia auriculata,FreezingUnexposed
Berlinia bracteosa,FreezingUnexposed
Berlinia confusa,FreezingUnexposed
Berlinia grandiflora,FreezingUnexposed
Berlinia grandifolia,FreezingUnexposed
Bernardia dichotoma,FreezingUnexposed
Bernardia myricifolia,FreezingExposed
Bernoullia flammea,FreezingUnexposed
Berrya ammonilla,FreezingUnexposed
Berrya cordifolia,FreezingUnexposed
Bersama abyssinica,FreezingUnexposed
Berteroa incana,FreezingExposed
Bertholletia excelsa,FreezingUnexposed
Bertiera breviflora,FreezingUnexposed
Bertiera guianensis,FreezingUnexposed
Bertya cunninghamii,FreezingUnexposed
Bertya dimerostigma,FreezingUnexposed
Bertya gummifera,FreezingExposed
Bertya oleifolia,FreezingUnexposed
Berula erecta,FreezingExposed
Berzelia abrotanoides,FreezingExposed
Berzelia cordifolia,FreezingUnexposed
Berzelia intermedia,FreezingUnexposed
Berzelia lanuginosa,FreezingUnexposed
Besleria lutea,FreezingUnexposed
Besleria triflora,FreezingUnexposed
Beta trigyna,FreezingExposed
Beta vulgaris,FreezingExposed
Betula alba,FreezingExposed
Betula albosinensis,FreezingExposed
Betula alleghaniensis,FreezingExposed
Betula alnoides,FreezingExposed
Betula apoiensis,FreezingExposed
Betula celtiberica,FreezingExposed
Betula chichibuensis,FreezingExposed
Betula corylifolia,FreezingExposed
Betula costata,FreezingExposed
Betula cylindrostachya,FreezingExposed
Betula dahurica,FreezingExposed
Betula davurica,FreezingExposed
Betula ermanii,FreezingExposed
Betula exilis,FreezingExposed
Betula fruticosa,FreezingExposed
Betula glandulosa,FreezingExposed
Betula globispica,FreezingExposed
Betula grossa,FreezingExposed
Betula humilis,FreezingExposed
Betula jacquemontii,FreezingExposed
Betula lenta,FreezingExposed
Betula litwinowii,FreezingExposed
Betula luminifera,FreezingUnexposed
Betula lutea,FreezingExposed
Betula maximowicziana,FreezingExposed
Betula microphylla,FreezingExposed
Betula nana,FreezingExposed
Betula neoalaskana,FreezingExposed
Betula nigra,FreezingExposed
Betula obscura,FreezingExposed
Betula occidentalis,FreezingExposed
Betula papyrifera,FreezingExposed
Betula pendula,FreezingExposed
Betula platyphylla,FreezingExposed
Betula populifolia,FreezingExposed
Betula pubescens,FreezingExposed
Betula pumila,FreezingExposed
Betula schmidtii,FreezingExposed
Betula szechuanica,FreezingExposed
Betula tianschanica,FreezingExposed
Betula tortuosa,FreezingExposed
Betula utilis,FreezingExposed
Beyeria lasiocarpa,FreezingUnexposed
Beyeria lepidopetala,FreezingUnexposed
Beyeria leschenaultii,FreezingUnexposed
Beyeria opaca,FreezingUnexposed
Beyeria viscosa,FreezingUnexposed
Bhesa paniculata,FreezingUnexposed
Bidens andicola,FreezingExposed
Bidens aristosa,FreezingExposed
Bidens bipinnata,FreezingExposed
Bidens cernua,FreezingExposed
Bidens comosa,FreezingExposed
Bidens connata,FreezingExposed
Bidens coronata,FreezingExposed
Bidens discoidea,FreezingExposed
Bidens frondosa,FreezingExposed
Bidens laevis,FreezingExposed
Bidens pilosa,FreezingExposed
Bidens reptans,FreezingUnexposed
Bidens sandvicensis,FreezingUnexposed
Bidens subalternans,FreezingExposed
Bidens tripartita,FreezingExposed
Bifora americana,FreezingExposed
Bifora radians,FreezingExposed
Bignonia capreolata,FreezingExposed
Bikkia artensis,FreezingUnexposed
Billardiera coriacea,FreezingUnexposed
Billardiera cymosa,FreezingUnexposed
Billardiera drummondii,FreezingUnexposed
Billardiera lehmanniana,FreezingUnexposed
Billardiera longiflora,FreezingExposed
Billardiera macrantha,FreezingExposed
Billardiera mutabilis,FreezingExposed
Billardiera nesophila,FreezingUnexposed
Billardiera procumbens,FreezingUnexposed
Billardiera scandens,FreezingExposed
Billardiera sericophora,FreezingUnexposed
Billardiera uniflora,FreezingUnexposed
Billardiera versicolor,FreezingUnexposed
Billia columbiana,FreezingUnexposed
Billia hippocastanum,FreezingUnexposed
Billia rosea,FreezingUnexposed
Biota orientalis,FreezingExposed
Bischofia javanica,FreezingUnexposed
Biscutella didyma,FreezingExposed
Biscutella laevigata,FreezingExposed
Bistorta amplexicaulis,FreezingExposed
Bistorta bistortoides,FreezingExposed
Bistorta plumosa,FreezingExposed
Bistorta vivipara,FreezingExposed
Bixa arborea,FreezingUnexposed
Bixa excelsa,FreezingUnexposed
Bixa orellana,FreezingUnexposed
Bixa platycarpa,FreezingUnexposed
Bixa urucurana,FreezingUnexposed
Blackstonia perfoliata,FreezingExposed
Blainvillea rhomboidea,FreezingUnexposed
Blakea foliacea,FreezingUnexposed
Blakea rosea,FreezingUnexposed
Blakea subconnata,FreezingUnexposed
Blandfordia cunninghamii,FreezingUnexposed
Blandfordia grandiflora,FreezingUnexposed
Blandfordia nobilis,FreezingUnexposed
Blandfordia punicea,FreezingExposed
Blastus cochinchinensis,FreezingUnexposed
Blechnum attenuatum,FreezingUnexposed
Blechnum australe,FreezingUnexposed
Blechnum camfieldii,FreezingUnexposed
Blechnum capense,FreezingExposed
Blechnum cartilagineum,FreezingUnexposed
Blechnum chambersii,FreezingExposed
Blechnum colensoi,FreezingExposed
Blechnum discolor,FreezingExposed
Blechnum finlaysonianum,FreezingUnexposed
Blechnum fluviatile,FreezingExposed
Blechnum fraseri,FreezingExposed
Blechnum gibbum,FreezingExposed
Blechnum gregsonii,FreezingUnexposed
Blechnum indicum,FreezingUnexposed
Blechnum ivohibense,FreezingUnexposed
Blechnum lenormandii,FreezingUnexposed
Blechnum minus,FreezingExposed
Blechnum moorei,FreezingUnexposed
Blechnum nudum,FreezingExposed
Blechnum obtusatum,FreezingUnexposed
Blechnum occidentale,FreezingUnexposed
Blechnum orientale,FreezingUnexposed
Blechnum patersonii,FreezingExposed
Blechnum penna-marina,FreezingExposed
Blechnum punctulatum,FreezingUnexposed
Blechnum serrulatum,FreezingUnexposed
Blechnum spicant,FreezingExposed
Blechnum subcordatum,FreezingUnexposed
Blechnum tabulare,FreezingExposed
Blechnum vulcanicum,FreezingExposed
Blechnum wattsii,FreezingExposed
Blechum brownei,FreezingUnexposed
Blechum costaricense,FreezingUnexposed
Blennosperma nanum,FreezingExposed
Blennospora drummondii,FreezingUnexposed
Blepharidium mexicanum,FreezingUnexposed
Blepharispermum zanguebaricum,FreezingUnexposed
Blepharocalyx eggersii,FreezingUnexposed
Blepharocalyx gigantea,FreezingUnexposed
Blepharocalyx salicifolius,FreezingExposed
Blepharocalyx tweediei,FreezingUnexposed
Blepharocarya involucrigera,FreezingUnexposed
Blephilia ciliata,FreezingExposed
Blephilia hirsuta,FreezingExposed
Bletilla striata,FreezingExposed
Blighia sapida,FreezingUnexposed
Blighia unijugata,FreezingUnexposed
Blighia welwitschii,FreezingUnexposed
Bloomeria crocea,FreezingExposed
Blumea balsamifera,FreezingUnexposed
Blumea lanceolaria,FreezingUnexposed
Blumea psammophila,FreezingUnexposed
Blumea saxatilis,FreezingUnexposed
Blumeodendron calophyllum,FreezingUnexposed
Blumeodendron kurzii,FreezingUnexposed
Blumeodendron subrotundifolium,FreezingUnexposed
Blumeodendron tokbrai,FreezingUnexposed
Blysmus compressus,FreezingExposed
Blysmus rufus,FreezingExposed
Blysmus sinocompressus,FreezingExposed
Bobartia aphylla,FreezingUnexposed
Bobartia filiformis,FreezingUnexposed
Bobartia gladiata,FreezingUnexposed
Bobartia indica,FreezingUnexposed
Bobartia macrospatha,FreezingUnexposed
Bobea elatior,FreezingUnexposed
Bobgunnia madagascariensis,FreezingUnexposed
Bocageopsis multiflora,FreezingUnexposed
Bocconia arborea,FreezingUnexposed
Bocconia frutescens,FreezingUnexposed
Bocconia integrifolia,FreezingExposed
Bocconia vulcanica,FreezingUnexposed
Bocoa alterna,FreezingUnexposed
Bocoa prouacensis,FreezingUnexposed
Bocoa viridiflora,FreezingUnexposed
Bocquillonia codonostylis,FreezingUnexposed
Bocquillonia grandidens,FreezingUnexposed
Bocquillonia lucidula,FreezingUnexposed
Bocquillonia nervosa,FreezingUnexposed
Bocquillonia sessiliflora,FreezingUnexposed
Boea hygroscopica,FreezingUnexposed
Boehmeria caudata,FreezingUnexposed
Boehmeria grandis,FreezingUnexposed
Boehmeria platanifolia,FreezingExposed
Boehmeria virgata,FreezingUnexposed
Boerhavia coccinea,FreezingExposed
Boerhavia diffusa,FreezingExposed
Boerhavia dominii,FreezingUnexposed
Boerhavia erecta,FreezingExposed
Boerhavia repens,FreezingExposed
Boerhavia spicata,FreezingExposed
Bolax gummifera,FreezingExposed
Bolbitis gaboonensis,FreezingUnexposed
Bolbitis heteroclita,FreezingUnexposed
Bolbitis heudelotii,FreezingExposed
Bolbitis nicotianifolia,FreezingUnexposed
Bolbitis sinuata,FreezingUnexposed
Bolboschoenus caldwellii,FreezingExposed
Bolboschoenus fluviatilis,FreezingExposed
Bolboschoenus maritimus,FreezingExposed
Bolboschoenus medianus,FreezingExposed
Bolboschoenus robustus,FreezingExposed
Bolboschoenus yagara,FreezingExposed
Bolusanthus speciosus,FreezingUnexposed
Bolusiella iridifolia,FreezingUnexposed
Bomarea acutifolia,FreezingUnexposed
Bomarea evecta,FreezingUnexposed
Bomarea glaucescens,FreezingExposed
Bomarea hirtella,FreezingUnexposed
Bomarea involucrosa,FreezingExposed
Bomarea nervosa,FreezingUnexposed
Bomarea salsilla,FreezingExposed
Bombacopsis macrocalyx,FreezingUnexposed
Bombacopsis nervosa,FreezingUnexposed
Bombacopsis quinata,FreezingUnexposed
Bombacopsis sessilis,FreezingUnexposed
Bombax brevicuspe,FreezingUnexposed
Bombax buonopozense,FreezingUnexposed
Bombax ceiba,FreezingUnexposed
Bombax costatum,FreezingUnexposed
Bombax malabaricum,FreezingUnexposed
Bombax rhodognaphalon,FreezingUnexposed
Bonamia maripoides,FreezingUnexposed
Bonatea steudneri,FreezingUnexposed
Bonnetia celiae,FreezingUnexposed
Bonnetia crassa,FreezingUnexposed
Bonnetia ptariensis,FreezingUnexposed
Bonnetia sessilis,FreezingUnexposed
Bontia daphnoides,FreezingUnexposed
Boquila trifoliata,FreezingUnexposed
Borago officinalis,FreezingExposed
Borassus flabellifer,FreezingUnexposed
Borojoa claviflora,FreezingUnexposed
Borojoa panamensis,FreezingUnexposed
Borojoa patinoi,FreezingUnexposed
Boronia ledifolia,FreezingUnexposed
Boronia muelleri,FreezingUnexposed
Boronia pilosa,FreezingUnexposed
Boronia pinnata,FreezingUnexposed
Boronia serrulata,FreezingUnexposed
Borrichia frutescens,FreezingExposed
Borya sphaerocephala,FreezingUnexposed
Boschniakia strobilacea,FreezingExposed
Boscia albitrunca,FreezingUnexposed
Boscia coriacea,FreezingUnexposed
Boscia mossambicensis,FreezingUnexposed
Boscia salicifolia,FreezingUnexposed
Bosistoa pentacocca,FreezingUnexposed
Bosistoa transversa,FreezingUnexposed
Bosqueia phoberos,FreezingUnexposed
Bossiaea cordigera,FreezingExposed
Bossiaea ensata,FreezingUnexposed
Bossiaea eriocarpa,FreezingUnexposed
Bossiaea heterophylla,FreezingUnexposed
Bossiaea laidlawiana,FreezingUnexposed
Bossiaea obcordata,FreezingUnexposed
Bossiaea walkeri,FreezingUnexposed
Boswellia dalzielii,FreezingUnexposed
Boswellia neglecta,FreezingUnexposed
Bothriochloa bladhii,FreezingExposed
Bothriochloa decipiens,FreezingUnexposed
Bothriochloa ewartiana,FreezingUnexposed
Bothriochloa ischaemum,FreezingExposed
Bothriochloa laguroides,FreezingExposed
Bothriochloa macra,FreezingExposed
Bothriospermum tenellum,FreezingExposed
Bothriospora corymbosa,FreezingUnexposed
Botryarrhena pendula,FreezingUnexposed
Botrychium australe,FreezingExposed
Botrychium lanceolatum,FreezingExposed
Botrychium lunaria,FreezingExposed
Botrychium matricariifolium,FreezingExposed
Botrychium multifidum,FreezingExposed
Botrychium simplex,FreezingExposed
Botrychium virginianum,FreezingExposed
Botryophora geniculata,FreezingUnexposed
Bottegoa insignis,FreezingUnexposed
Bouea macrophylla,FreezingUnexposed
Bouea oppositifolia,FreezingUnexposed
Bougainvillea praecox,FreezingUnexposed
Bougainvillea spectabilis,FreezingExposed
Bougainvillea spinosa,FreezingExposed
Bourreria costaricensis,FreezingUnexposed
Bourreria cumanensis,FreezingUnexposed
Bourreria petiolaris,FreezingUnexposed
Bourreria purpusii,FreezingUnexposed
Bourreria succulenta,FreezingUnexposed
Bourreria virgata,FreezingUnexposed
Bouteloua aristidoides,FreezingExposed
Bouteloua curtipendula,FreezingExposed
Bouteloua gracilis,FreezingExposed
Bouteloua hirsuta,FreezingExposed
Bouteloua trifida,FreezingExposed
Bouvardia erecta,FreezingUnexposed
Bouvardia ternifolia,FreezingExposed
Bowdichia nitida,FreezingUnexposed
Bowdichia virgilioides,FreezingUnexposed
Bowenia serrulata,FreezingExposed
Bowkeria verticillata,FreezingUnexposed
Boykinia aconitifolia,FreezingExposed
Boykinia occidentalis,FreezingExposed
Boykinia richardsonii,FreezingExposed
Brabejum stellatifolium,FreezingUnexposed
Brachiaria brizantha,FreezingUnexposed
Brachiaria distachya,FreezingUnexposed
Brachiaria eruciformis,FreezingExposed
Brachiaria fasciculata,FreezingUnexposed
Brachiaria miliiformis,FreezingUnexposed
Brachiaria mutica,FreezingUnexposed
Brachiaria praetervisa,FreezingUnexposed
Brachiaria ramosa,FreezingExposed
Brachiaria reptans,FreezingExposed
Brachiaria subquadripara,FreezingUnexposed
Brachiaria villosa,FreezingUnexposed
Brachychiton acerifolius,FreezingUnexposed
Brachychiton australis,FreezingUnexposed
Brachychiton carruthersii,FreezingUnexposed
Brachychiton chillagoensis,FreezingUnexposed
Brachychiton discolor,FreezingUnexposed
Brachychiton diversifolius,FreezingUnexposed
Brachychiton gregorii,FreezingUnexposed
Brachychiton megaphyllus,FreezingUnexposed
Brachychiton populneus,FreezingExposed
Brachyclados lycioides,FreezingExposed
Brachyelytrum erectum,FreezingExposed
Brachyglottis repanda,FreezingExposed
Brachyglottis revoluta,FreezingExposed
Brachyglottis rotundifolia,FreezingExposed
Brachyglottis sciadophila,FreezingUnexposed
Brachylaena huillensis,FreezingUnexposed
Brachylaena hutchinsii,FreezingUnexposed
Brachylaena neriifolia,FreezingUnexposed
Brachylaena ramiflora,FreezingUnexposed
Brachyloma daphnoides,FreezingExposed
Brachyloma ericoides,FreezingUnexposed
Brachynema ramiflorum,FreezingUnexposed
Brachypodium distachyon,FreezingExposed
Brachypodium phoenicoides,FreezingExposed
Brachypodium pinnatum,FreezingExposed
Brachypodium retusum,FreezingExposed
Brachypodium rupestre,FreezingExposed
Brachypodium sylvaticum,FreezingExposed
Brachyscome ciliaris,FreezingUnexposed
Brachyscome ciliocarpa,FreezingUnexposed
Brachyscome curvicarpa,FreezingUnexposed
Brachyscome lineariloba,FreezingUnexposed
Brachyscome perpusilla,FreezingUnexposed
Brachystegia allenii,FreezingUnexposed
Brachystegia bakeriana,FreezingUnexposed
Brachystegia boehmii,FreezingUnexposed
Brachystegia cynometroides,FreezingUnexposed
Brachystegia eurycoma,FreezingUnexposed
Brachystegia glaucescens,FreezingUnexposed
Brachystegia laurentii,FreezingUnexposed
Brachystegia leonensis,FreezingUnexposed
Brachystegia longifolia,FreezingUnexposed
Brachystegia microphylla,FreezingUnexposed
Brachystegia mildbraedii,FreezingUnexposed
Brachystegia nigerica,FreezingUnexposed
Brachystegia spiciformis,FreezingUnexposed
Brachystegia utilis,FreezingUnexposed
Brachystegia wangermeeana,FreezingUnexposed
Brachystegia zenkeri,FreezingUnexposed
Brackenridgea nitida,FreezingUnexposed
Bracteantha bracteata,FreezingExposed
Brahea armata,FreezingExposed
Brahea dulcis,FreezingUnexposed
Brasenia peltata,FreezingExposed
Brasenia schreberi,FreezingExposed
Brassaiopsis hainla,FreezingExposed
Brassia caudata,FreezingUnexposed
Brassica barrelieri,FreezingExposed
Brassica campestris,FreezingExposed
Brassica carinata,FreezingUnexposed
Brassica chinensis,FreezingUnexposed
Brassica elongata,FreezingExposed
Brassica fruticulosa,FreezingUnexposed
Brassica juncea,FreezingExposed
Brassica napus,FreezingExposed
Brassica nigra,FreezingExposed
Brassica oleracea,FreezingExposed
Brassica pekinensis,FreezingExposed
Brassica rapa,FreezingExposed
Brassica tournefortii,FreezingExposed
Bravaisia integerrima,FreezingUnexposed
Bravaisia tubiflora,FreezingUnexposed
Braya humilis,FreezingExposed
Brazoria truncata,FreezingUnexposed
Breonadia salicina,FreezingUnexposed
Breonia chinensis,FreezingUnexposed
Breonia macrocarpa,FreezingUnexposed
Breonia madagascariensis,FreezingUnexposed
Breonia perrieri,FreezingUnexposed
Bretschneidera sinensis,FreezingUnexposed
Breviea leptosperma,FreezingUnexposed
Breviea sericea,FreezingUnexposed
Brexia madagascariensis,FreezingUnexposed
Breynia cernua,FreezingUnexposed
Breynia disticha,FreezingUnexposed
Breynia oblongifolia,FreezingUnexposed
Breynia stipitata,FreezingUnexposed
Breynia vitis-idaea,FreezingUnexposed
Brickellia arguta,FreezingExposed
Brickellia californica,FreezingExposed
Brickellia desertorum,FreezingExposed
Brickellia diffusa,FreezingUnexposed
Brickellia eupatorioides,FreezingExposed
Brickellia incana,FreezingExposed
Brickellia laciniata,FreezingExposed
Brickellia longifolia,FreezingExposed
Bridelia atroviridis,FreezingUnexposed
Bridelia balansae,FreezingUnexposed
Bridelia cathartica,FreezingUnexposed
Bridelia exaltata,FreezingUnexposed
Bridelia ferruginea,FreezingUnexposed
Bridelia glauca,FreezingUnexposed
Bridelia grandis,FreezingUnexposed
Bridelia insulana,FreezingUnexposed
Bridelia micrantha,FreezingUnexposed
Bridelia mollis,FreezingUnexposed
Bridelia monoica,FreezingUnexposed
Bridelia ndellensis,FreezingUnexposed
Bridelia ovata,FreezingUnexposed
Bridelia penangiana,FreezingUnexposed
Bridelia pervilleana,FreezingUnexposed
Bridelia retusa,FreezingUnexposed
Bridelia scleroneura,FreezingUnexposed
Bridelia stipularis,FreezingUnexposed
Bridelia taitensis,FreezingUnexposed
Bridelia tenuifolia,FreezingUnexposed
Bridelia tomentosa,FreezingUnexposed
Bridelia tulasneana,FreezingUnexposed
Bridgesia incisifolia,FreezingUnexposed
Briedelia leichhardtii,FreezingUnexposed
Brighamia insignis,FreezingUnexposed
Briza maxima,FreezingExposed
Briza media,FreezingExposed
Briza minor,FreezingExposed
Briza rufa,FreezingUnexposed
Briza subaristata,FreezingExposed
Brochoneura acuminata,FreezingUnexposed
Brodiaea appendiculata,FreezingExposed
Brodiaea californica,FreezingExposed
Brodiaea coronaria,FreezingExposed
Brodiaea elegans,FreezingExposed
Brodiaea stellaris,FreezingExposed
Brodiaea terrestris,FreezingExposed
Brombya platynema,FreezingUnexposed
Bromelia pinguin,FreezingUnexposed
Bromelia plumieri,FreezingUnexposed
Bromelia urbaniana,FreezingUnexposed
Bromopsis erecta,FreezingExposed
Bromuniola gossweileri,FreezingUnexposed
Bromus altissimus,FreezingExposed
Bromus arenarius,FreezingExposed
Bromus arvensis,FreezingExposed
Bromus brachystachys,FreezingExposed
Bromus brevis,FreezingExposed
Bromus briziformis,FreezingExposed
Bromus carinatus,FreezingExposed
Bromus catharticus,FreezingExposed
Bromus ciliatus,FreezingExposed
Bromus commutatus,FreezingExposed
Bromus diandrus,FreezingExposed
Bromus erectus,FreezingExposed
Bromus fasciculatus,FreezingExposed
Bromus grossus,FreezingExposed
Bromus gussonei,FreezingExposed
Bromus hordeaceus,FreezingExposed
Bromus inermis,FreezingExposed
Bromus japonicus,FreezingExposed
Bromus kalmii,FreezingExposed
Bromus lanatus,FreezingExposed
Bromus lanceolatus,FreezingExposed
Bromus lithobius,FreezingExposed
Bromus madritensis,FreezingExposed
Bromus magnus,FreezingExposed
Bromus mollis,FreezingExposed
Bromus pubescens,FreezingExposed
Bromus pumpellianus,FreezingExposed
Bromus purgans,FreezingExposed
Bromus racemosus,FreezingExposed
Bromus ramosus,FreezingExposed
Bromus remotiflorus,FreezingExposed
Bromus rigidus,FreezingExposed
Bromus riparius,FreezingExposed
Bromus rubens,FreezingExposed
Bromus scoparius,FreezingExposed
Bromus secalinus,FreezingExposed
Bromus setifolius,FreezingExposed
Bromus sinensis,FreezingExposed
Bromus sitchensis,FreezingExposed
Bromus squarrosus,FreezingExposed
Bromus stamineus,FreezingUnexposed
Bromus sterilis,FreezingExposed
Bromus tectorum,FreezingExposed
Bromus unioloides,FreezingExposed
Bromus valdivianus,FreezingUnexposed
Brongniartia alamosana,FreezingUnexposed
Brosimum acutifolium,FreezingUnexposed
Brosimum alicastrum,FreezingUnexposed
Brosimum costaricanum,FreezingUnexposed
Brosimum gaudichaudii,FreezingUnexposed
Brosimum guianense,FreezingUnexposed
Brosimum lactescens,FreezingUnexposed
Brosimum parinarioides,FreezingUnexposed
Brosimum potabile,FreezingUnexposed
Brosimum rubescens,FreezingUnexposed
Brosimum utile,FreezingUnexposed
Broussaisia arguta,FreezingUnexposed
Broussonetia greveana,FreezingUnexposed
Broussonetia kaempferi,FreezingExposed
Broussonetia kazinoki,FreezingExposed
Broussonetia kurzii,FreezingUnexposed
Broussonetia luzonica,FreezingUnexposed
Broussonetia papyrifera,FreezingExposed
Brownea grandiceps,FreezingUnexposed
Brownea latifolia,FreezingUnexposed
Brownea macrophylla,FreezingUnexposed
Browneopsis ucayalina,FreezingUnexposed
Brownlowia argentata,FreezingUnexposed
Brownlowia peltata,FreezingUnexposed
Brucea antidysenterica,FreezingUnexposed
Brucea javanica,FreezingUnexposed
Brucea macrophylla,FreezingUnexposed
Bruckenthalia spiculifolia,FreezingExposed
Brugmansia candida,FreezingUnexposed
Brugmansia suaveolens,FreezingUnexposed
Bruguiera cylindrica,FreezingUnexposed
Bruguiera exaristata,FreezingUnexposed
Bruguiera gymnorhiza,FreezingUnexposed
Bruguiera hainesii,FreezingUnexposed
Bruguiera parviflora,FreezingUnexposed
Bruguiera sexangula,FreezingUnexposed
Bruinsmia styracoides,FreezingUnexposed
Brunellia comocladifolia,FreezingUnexposed
Brunellia costaricensis,FreezingUnexposed
Brunellia darienensis,FreezingUnexposed
Brunellia integrifolia,FreezingUnexposed
Brunellia standleyana,FreezingUnexposed
Brunfelsia americana,FreezingUnexposed
Brunfelsia densifolia,FreezingUnexposed
Brunfelsia guianensis,FreezingUnexposed
Brunfelsia jamaicensis,FreezingUnexposed
Brunfelsia pauciflora,FreezingExposed
Brunia albiflora,FreezingExposed
Brunia noduliflora,FreezingUnexposed
Brunnichia ovata,FreezingExposed
Brunonia australis,FreezingUnexposed
Brunoniella australis,FreezingUnexposed
Brunsvigia orientalis,FreezingUnexposed
Brya ebenus,FreezingUnexposed
Bryonia alba,FreezingExposed
Bryonia dioica,FreezingExposed
Bryophyllum pinnatum,FreezingUnexposed
Bubbia queenslandiana,FreezingUnexposed
Buchanania amboinensis,FreezingUnexposed
Buchanania arborescens,FreezingUnexposed
Buchanania heterophylla,FreezingUnexposed
Buchanania insignis,FreezingUnexposed
Buchanania lanzan,FreezingUnexposed
Buchanania macrocarpa,FreezingUnexposed
Buchanania obovata,FreezingUnexposed
Buchanania sessilifolia,FreezingUnexposed
Buchanania versteeghii,FreezingUnexposed
Buchenavia amazonia,FreezingUnexposed
Buchenavia capitata,FreezingUnexposed
Buchenavia congesta,FreezingUnexposed
Buchenavia fanshawei,FreezingUnexposed
Buchenavia grandis,FreezingUnexposed
Buchenavia macrophylla,FreezingUnexposed
Buchenavia ochroprumna,FreezingUnexposed
Buchenavia oxycarpa,FreezingUnexposed
Buchenavia pallidovirens,FreezingUnexposed
Buchenavia parvifolia,FreezingUnexposed
Buchenavia tetraphylla,FreezingUnexposed
Buchenavia viridiflora,FreezingUnexposed
Buchloe dactyloides,FreezingExposed
Buchnera hispida,FreezingUnexposed
Buchnerodendron speciosum,FreezingUnexposed
Bucida buceras,FreezingUnexposed
Bucida macrostachya,FreezingUnexposed
Buckinghamia celsissima,FreezingUnexposed
Buckleya distichophylla,FreezingExposed
Buddleja americana,FreezingUnexposed
Buddleja asiatica,FreezingExposed
Buddleja brasiliensis,FreezingUnexposed
Buddleja globosa,FreezingExposed
Buddleja nappii,FreezingExposed
Buddleja nitida,FreezingUnexposed
Buddleja saligna,FreezingExposed
Buddleja utahensis,FreezingExposed
Buergersiochloa bambusoides,FreezingUnexposed
Buglossoides arvensis,FreezingExposed
Buglossoides purpurocaerulea,FreezingExposed
Bulbine abyssinica,FreezingUnexposed
Bulbine alata,FreezingUnexposed
Bulbine bulbosa,FreezingExposed
Bulbine fallax,FreezingUnexposed
Bulbine frutescens,FreezingUnexposed
Bulbine glauca,FreezingExposed
Bulbine narcissifolia,FreezingExposed
Bulbine praemorsa,FreezingUnexposed
Bulbine semibarbata,FreezingUnexposed
Bulbinella divaginata,FreezingUnexposed
Bulbinella hookeri,FreezingExposed
Bulbinella latifolia,FreezingUnexposed
Bulbophyllum exiguum,FreezingUnexposed
Bulbophyllum maximum,FreezingUnexposed
Bulbophyllum shepherdii,FreezingUnexposed
Bulbostylis abortiva,FreezingUnexposed
Bulbostylis barbata,FreezingExposed
Bulbostylis capillaris,FreezingExposed
Bulbostylis ciliatifolia,FreezingExposed
Bulbostylis coleotricha,FreezingUnexposed
Bulbostylis densa,FreezingExposed
Bulbostylis filamentosa,FreezingUnexposed
Bulbostylis hispidula,FreezingUnexposed
Bulbostylis juncoides,FreezingExposed
Bulbostylis laniceps,FreezingUnexposed
